id,species_id,name,species,breed,age,gender,weight,status,found,released,admitted,image_url,url
1,1224/24,Zgryzek,dog,Mieszaniec,15 lat,samiec,12 kg,wydane adopcja,"ul. Promenady, Warszawa",2025-03-05,2024-08-26,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402031/e52b2b0c2b5c85d0.jpg,https://napaluchu.waw.pl/pet/012402031/
2,1595/24,Tarik,dog,Mieszaniec,5 lat,samiec,13 kg,wydane adopcja,"ul. Książęca, Warszawa (lecznica)",2025-03-05,2024-11-15,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402742/7175e01dd166f905.jpg,https://napaluchu.waw.pl/pet/012402742/
4,1752/24,Heidi,dog,Mieszaniec,2 lata,samica,13 kg,wydane adopcja,"Wiązana, Warszawa",2025-03-04,2024-12-22,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402989/d4f687471b37043a.jpg,https://napaluchu.waw.pl/pet/012402989/
7,1803/23,Mamba,dog,Buldog francuski,3 lata,samica,9 kg,wydane adopcja,"Warszawa, Pasaż Ursynowski",2025-03-02,2023-12-16,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012302997/5385cb94140e31e2.jpg,https://napaluchu.waw.pl/pet/012302997/
9,0072/25,Lisa,dog,Mieszaniec,3 lata,samica,11 kg,wydane adopcja,"Warszawa,ul.Odyńca",2025-03-01,2025-01-22,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/lisa3.jpg,https://napaluchu.waw.pl/pet/0900000008/
10,0533/24,Pan Tadeusz,dog,Mieszaniec,11 lat,samiec,22 kg,wydane adopcja,"Warszawa, ul. Wergiliusza",2025-03-01,2024-04-08,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012400723/2557ac37560c3e50.jpg,https://napaluchu.waw.pl/pet/012400723/
11,1763/24,SHILA,dog,Mieszaniec,9 miesięcy,samica,9 kg,wydane adopcja,"Warszawa, ul Kijowska",2025-02-26,2024-12-25,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012403003/cec930843148f7dc.jpg,https://napaluchu.waw.pl/pet/012403003/
12,1676/24,Berlin,dog,Mieszaniec,2 lata,samiec,12 kg,wydane adopcja,"Warszawa, ul. Białołęcka",2025-02-26,2024-12-04,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402872/ab7756f6499652b6.JPG,https://napaluchu.waw.pl/pet/012402872/
14,1677/24,Czaruś,dog,Mieszaniec,1 rok,samiec,11 kg,wydane adopcja,"Warszawa, ul. Słomińskiego",2025-02-25,2024-12-04,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402873/859ebec2c97785ad.jpg,https://napaluchu.waw.pl/pet/012402873/
16,1612/24,Malta,dog,Owczarek belgijski,2 lata,samica,25 kg,wydane adopcja,"Warszawa, ul. Patriotów",2025-02-23,2024-11-18,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402773/f792b603f9267e66.jpeg,https://napaluchu.waw.pl/pet/012402773/
17,1679/24,MIĘTUS,dog,Mieszaniec,11 miesięcy,samiec,15 kg,wydane adopcja,"Aluzyjna, Warszawa",2025-02-22,2024-12-05,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402876/08274398bdadfeaf.jpg,https://napaluchu.waw.pl/pet/012402876/
18,0085/25,Rifo,dog,Mieszaniec,3 lata,samiec,6 kg,wydane adopcja,"Warszawa,ul.Wolska",2025-02-22,2025-01-27,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/2150207-2.jpg,https://napaluchu.waw.pl/pet/0900000020/
19,0086/25,Poziomka,dog,Mieszaniec,3 lata,samica,5 kg,wydane adopcja,"Warszawa,ul.Marzanny",2025-02-21,2025-01-28,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/0086-25P-20250214-1.jpeg,https://napaluchu.waw.pl/pet/0900000021/
20,1675/24,Bimo,dog,Mieszaniec,10 miesięcy,samiec,8 kg,wydane adopcja,"Warszawa, ul. Na Skraju",2025-02-21,2024-12-04,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402871/b96042f9dbbcb501.jpg,https://napaluchu.waw.pl/pet/012402871/
21,1484/24,Delta,dog,Mieszaniec,1 rok,samica,8 kg,wydane adopcja,"Warszawa, ul. Al. KEN",2025-02-20,2024-10-22,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402562/ff0537ce67bd2b66.jpg,https://napaluchu.waw.pl/pet/012402562/
22,0011/25,Łatka,dog,Mieszaniec,4 lata,samica,10 kg,wydane adopcja,"Warszawa, ul. Wyszogrodzka",2025-02-20,2025-01-01,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012500006/22954a97383aa627.jpg,https://napaluchu.waw.pl/pet/012500006/
23,0062/25,Spartakus,dog,Maltańczyk,12 lat,samiec,3 kg,wydane adopcja,"ul. Wolska, Warszawa",2025-02-18,2025-01-18,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/0062_25profilowe.jpg,https://napaluchu.waw.pl/pet/012500088/
30,0130/25,Wikusia,dog,Mieszaniec,3 miesiące,samica,2 kg,wydane adopcja,"Warszawa, ul. Nowoursynowska/KEN",2025-02-16,2025-02-11,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/0130-25p-2.jpg,https://napaluchu.waw.pl/pet/0900000098/
31,1408/24,Kumpel,dog,Mieszaniec,1 rok,samiec,20 kg,wydane adopcja,"Włodarzewska, Warszawa",2025-02-16,2024-10-09,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402407/a41591cfe25f1121.jpg,https://napaluchu.waw.pl/pet/012402407/
32,0781/24,Sindri,dog,Mieszaniec,2 lata,samiec,16 kg,wydane adopcja,"ul. Książęca, Warszawa (lecznica)",2025-02-15,2024-06-01,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012401126/3dbec38d75d5d4ce.jpg,https://napaluchu.waw.pl/pet/012401126/
33,1785/24,Lukier,dog,Mieszaniec,9 miesięcy,samiec,7 kg,wydane adopcja,"Warszawa, ul. Zagójska",2025-02-15,2024-12-29,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/Lukier3.jpg,https://napaluchu.waw.pl/pet/012403029/
