"id","species_id","name","species","breed","age","gender","weight","status","found","admitted","released","image_url","url"
31905,"0079/25","",cat,Europejska,"4 miesiące",samica,"2 kg",wydane adopcja,"Warszawa, ul. Chłodna","2025-03-03","2025-02-15",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/79_25profilowe.jpg,https://napaluchu.waw.pl/pet/0900000123/
31906,"1160/24",Maciej,cat,Perski,"11 lat",samiec,"3 kg",wydane adopcja,Warszawa,"2025-03-02","2024-12-06",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402882/60859a3d9f455454.jpg,https://napaluchu.waw.pl/pet/012402882/
31909,"1161/24",Lucy,cat,Perski,"11 lat",samica,"2 kg",wydane adopcja,Warszawa,"2025-03-02","2024-12-06",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402884/8a269d58b12931c4.JPG,https://napaluchu.waw.pl/pet/012402884/
31911,"0048/25",Gumka,cat,Europejska,"1 rok",samica,"3 kg",wydane adopcja,"Warszawa, ul. Bagno","2025-03-01","2025-01-28",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/48_25_1.jpg,https://napaluchu.waw.pl/pet/0900000043/
31912,"0073/25",Tasza,cat,Europejska,"4 lata",samica,"4 kg",wydane adopcja,"Warszawa, ul. Wał Miedzeszyński","2025-03-01","2025-02-12",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/73_profilowe.JPG,https://napaluchu.waw.pl/pet/0900000105/
31913,"0065/25",Elian,cat,Brytyjski,"7 lat",samiec,"6 kg",wydane adopcja,"Warszawa, ul. Rakowiecka","2025-02-27","2025-02-06",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/65_25profilowe.jpg,https://napaluchu.waw.pl/pet/0900000075/
31914,"0043/25",Legutek,cat,Europejska,"7 miesięcy",samiec,"2 kg",wydane adopcja,"Warszawa, ul. Dubois","2025-02-26","2025-01-26",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/0043-25K-20250212-1.jpg,https://napaluchu.waw.pl/pet/0900000038/
31916,"0069/25",Norti,cat,Europejska,"1 rok",samiec,"4 kg",wydane adopcja,"Warszawa, ul. Syrokomili","2025-02-26","2025-02-10",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/norti00.JPG,https://napaluchu.waw.pl/pet/0900000095/
31917,"1177/24",Ekierka,cat,Europejska,"10 miesięcy",samica,"3 kg",wydane adopcja,"Warszawa, ul Codzienna","2025-02-24","2024-12-15",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402936/ed404bb3e35fb4d9.JPG,https://napaluchu.waw.pl/pet/012402936/
31918,"1176/24",Linijka,cat,Europejska,"10 miesięcy",samica,"3 kg",wydane adopcja,"Warszawa, ul Codzienna","2025-02-24","2024-12-15",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402935/54aa6cae1648bcc9.JPG,https://napaluchu.waw.pl/pet/012402935/
31919,"0497/24",Bożydar,cat,Europejska,"3 lata",samiec,"4 kg",wydane adopcja,"Warszawa, ul. Trakt Lubelski lecznica","2025-02-23","2024-07-05",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012401475/2c1a2cacc4bfaab3.JPG,https://napaluchu.waw.pl/pet/012401475/
31920,"0060/25","",cat,Europejska,"6 miesięcy",samica,"2 kg",wydane adopcja,"Warszawa, Słonecznego Poranka","2025-02-23","2025-02-04",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/0060_25profilowe.jpg,https://napaluchu.waw.pl/pet/0900000131/
31921,"0035/25",Durango,cat,Europejska,"8 miesięcy",samiec,"2 kg",wydane adopcja,"Warszawa, ul. Ogórkowa","2025-02-23","2025-01-19",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/35-25k-a.jpg,https://napaluchu.waw.pl/pet/0900000030/
31923,"0061/25","",cat,Europejska,"5 miesięcy",samica,"2 kg",wydane adopcja,"Warszawa, ul. Jana Pawła II","2025-02-22","2025-02-04",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/foto/61-25k.JPG,https://napaluchu.waw.pl/pet/0900000132/
31924,"1204/24",Kręgielek,cat,Europejska,"1 rok",samiec,"2 kg",wydane adopcja,"Piaseczno, ul. Puławska - parking","2025-02-22","2024-12-28",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012403020/b4a330c082c3529e.jpg,https://napaluchu.waw.pl/pet/012403020/
31925,"0030/25",Cetra,cat,Europejska,"2 lata",samica,"3 kg",wydane adopcja,"Warszawa, ul. Turmoncka","2025-02-22","2025-01-18",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012500085/6257cb9b2227c361.JPG,https://napaluchu.waw.pl/pet/012500085/
31926,"0019/25",Rudzinek Słodzinek,cat,Europejska,"9 miesięcy",samiec,"4 kg",wydane adopcja,"Warszawa, ul. Skalnicowa","2025-02-22","2025-01-09",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012500052/c1a0495782f1ba9f.jpg,https://napaluchu.waw.pl/pet/012500052/
31927,"0052/25",Florek,cat,Europejska,"1 rok",samiec,"4 kg",wydane adopcja,"Warszawa, ul. Wał Międzyszyński","2025-02-22","2025-02-02",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/Florekprofilowe.JPG,https://napaluchu.waw.pl/pet/0900000061/
31929,"0520/24",Hakuna,cat,Europejska,"10 lat",samica,"3 kg",wydane adopcja,"Warszawa, teren Schroniska","2025-02-22","2024-07-08",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012401513/311bb38e05dea811.jpeg,https://napaluchu.waw.pl/pet/012401513/
31930,"0528/24",Speedy Gonzales,cat,Europejska,"9 miesięcy",samiec,"2 kg",wydane adopcja,ul. Opałowa,"2025-02-21","2024-07-10",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012401526/55f311450a03f75e.JPG,https://napaluchu.waw.pl/pet/012401526/
31931,"0056/25","",cat,Europejska,"8 miesięcy",samiec,"2 kg",wydane adopcja,"Warszawa, ul. Wileńska","2025-02-20","2025-02-04",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/0056_25profilowe.jpg,https://napaluchu.waw.pl/pet/0900000067/
31932,"1135/24",Popcorn,cat,Europejska,"2 lata",samiec,"5 kg",wydane adopcja,"ul. Książęca, Warszawa (lecznica)","2025-02-19","2024-11-21",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402795/690fd77add55440f.JPG,https://napaluchu.waw.pl/pet/012402795/
31933,"0054/25","",cat,Europejska,"5 miesięcy",samica,"2 kg",wydane adopcja,"Warszawa, ul. Pancerna","2025-02-17","2025-02-02",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/foto/54-25k.jpg,https://napaluchu.waw.pl/pet/0900000063/
31934,"0039/25",Rita,cat,Europejska,"8 miesięcy",samica,"2 kg",wydane adopcja,"Warszawa, działki Paluch","2025-02-16","2025-01-22",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/0039-25K-20250214-1.jpg,https://napaluchu.waw.pl/pet/0900000034/
31935,"1023/24",Meganek,cat,Europejska,"9 lat",samiec,"4 kg",wydane adopcja,"","2025-02-15","2024-10-20",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402530/50c832e4ff4d972b.JPG,https://napaluchu.waw.pl/pet/012402530/
31936,"0852/24",Czips,cat,Europejska,"5 lat",samiec,"4 kg",wydane adopcja,"Warszawa, ul. Śreniawitów, lecznica","2025-02-15","2024-09-09",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402160/55c60580b82c0da0.jpeg,https://napaluchu.waw.pl/pet/012402160/
31937,"0898/24",Arcade,cat,Europejska,"10 miesięcy",samiec,"2 kg",wydane adopcja,"ul. Borowej Góry, Warszawa","2025-02-14","2024-09-22",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402270/398aa1ee04eb25a6.jpg,https://napaluchu.waw.pl/pet/012402270/
31938,"0012/25",Pinta,cat,Europejska,"1 rok",samica,"3 kg",wydane adopcja,"ul. Przy lasku, Warszawa","2025-02-14","2025-01-06",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012500038/20d9dff93593feb2.jpeg,https://napaluchu.waw.pl/pet/012500038/
31939,"0059/25","",cat,Europejska,"3 miesiące",samica,"1 kg",wydane adopcja,"Warszawa, ul. Kłobucka","2025-02-14","2025-02-04",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/foto/59-25k.jpg,https://napaluchu.waw.pl/pet/0900000070/
31940,"0897/24",Fire,cat,Europejska,"10 miesięcy",samiec,"2 kg",wydane adopcja,"ul. Borowej Góry, Warszawa","2025-02-14","2024-09-22",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402269/82c779d6305da005.jpg,https://napaluchu.waw.pl/pet/012402269/
31942,"0006/25",Fizelina,cat,Europejska,"3 lata",samica,"3 kg",wydane adopcja,"Warszawa, Aleje Jerozolimskie (spod PKiN)","2025-02-13","2025-01-04",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/foto/012500024_mini.jpg,https://napaluchu.waw.pl/pet/012500024/
31943,"0031/25",Cefryx,cat,Europejska,"4 lata",samiec,"3 kg",wydane adopcja,"Warszawa, ul. Turmoncka","2025-02-12","2025-01-18",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012500086/41d99d318859e676.JPG,https://napaluchu.waw.pl/pet/012500086/
31945,"0046/25","",cat,Europejska,"7 miesięcy",samica,"2 kg",wydane adopcja,"","2025-02-11","2025-01-28",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/foto/46--25k.jpg,https://napaluchu.waw.pl/pet/0900000041/
31946,"0810/24",Atencja,cat,Europejska,"4 lata",samica,"3 kg",wydane adopcja,"Warszawa, ul. Kartograficzna","2025-02-10","2024-09-01",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402087/492a064a7e2b5d8d.jpg,https://napaluchu.waw.pl/pet/012402087/
31947,"0036/25",Gucio,cat,Europejska,"4 lata",samiec,"6 kg",wydane adopcja,"Warszawa, ul. Cegielniana","2025-02-10","2025-01-19",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/foto/36-25k.jpg,https://napaluchu.waw.pl/pet/0900000031/
31948,"0040/25","",cat,Europejska,"1 rok",samiec,"4 kg",wydane adopcja,"Warszawa, ul. Połczyńska","2025-02-09","2025-01-23",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/foto/40--25k.jpg,https://napaluchu.waw.pl/pet/0900000035/
31949,"1133/24",Wstydzia,cat,Europejska,"6 lat",samica,"3 kg",wydane adopcja,"ul. Obozowa, Warszawa","2025-02-09","2024-11-21",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402793/5e8dc9e0593cce7c.JPG,https://napaluchu.waw.pl/pet/012402793/
31950,"1154/24",Pacześ,cat,Europejska,"4 miesiące",samiec,"1 kg",wydane adopcja,"Zabłocińska, Warszawa","2025-02-08","2024-12-02",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402857/3f001e2050d561cc.jpg,https://napaluchu.waw.pl/pet/012402857/
31951,"0022/25",Gromit,cat,Europejska,"2 lata",samiec,"4 kg",wydane adopcja,"Warszawa, ul. Sabały","2025-02-08","2025-01-10",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012500057/abd4507cccfd0c81.jpg,https://napaluchu.waw.pl/pet/012500057/
31952,"1087/24",Psotka,cat,Europejska,"5 lat",samica,"5 kg",wydane adopcja,"Warszawa, ul. Aleja Krakowska","2025-02-08","2024-11-03",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402667/3a5842585dbbe7f2.JPG,https://napaluchu.waw.pl/pet/012402667/
31953,"1153/24",Lotek,cat,Europejska,"4 miesiące",samiec,"1 kg",wydane adopcja,"Zabłocińska, Warszawa","2025-02-08","2024-12-02",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402856/a2b0b2311d5dc767.jpg,https://napaluchu.waw.pl/pet/012402856/
31955,"0057/25","",cat,Europejska,"3 miesiące",samiec,"1 kg",wydane adopcja,"Warszawa, ul. Chrościckiego","2025-02-07","2025-02-04",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/foto/57-25k.jpg,https://napaluchu.waw.pl/pet/0900000068/
31956,"0015/25",Link,cat,Europejska,"2 lata",samiec,"5 kg",wydane adopcja,"","2025-02-07","2025-01-08",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012500047/391bfab3cd41cfc7.JPG,https://napaluchu.waw.pl/pet/012500047/
31957,"0017/25",Agat,cat,Europejska,"7 lat",samiec,"5 kg",wydane adopcja,"","2025-02-07","2025-01-08",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012500049/204e6843aa9647b8.JPG,https://napaluchu.waw.pl/pet/012500049/
31959,"0037/25","",cat,Europejska,"8 miesięcy",samica,"2 kg",wydane adopcja,"Warszawa, ul. Lwowska","2025-02-04","2025-01-19",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/foto/37-25k.jpg,https://napaluchu.waw.pl/pet/0900000032/
31960,"0028/25","",cat,Europejska,"5 lat",samiec,"3 kg",wydane adopcja,"Warszawa, ul. Turmoncka","2025-02-04","2025-01-18",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012500083/31e6a8287d291f66.JPG,https://napaluchu.waw.pl/pet/012500083/
31978,"0001/25",Saszeta,cat,Europejska,"4 lata",samica,"4 kg",wydane adopcja,"Warszawa, ul. Wilcza","2025-01-26","2025-01-01",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/foto/20971_mini.jpg,https://napaluchu.waw.pl/pet/012403055/
32006,"1188/24",Burasek Globusek,cat,Europejska,"3 lata",samiec,"6 kg",wydane adopcja,"Warszawa, ul. Modlińska (lecznica)","2025-01-18","2024-12-20",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402967/7fc16f565cd54555.jpeg,https://napaluchu.waw.pl/pet/012402967/
32010,"1019/24",Japka,cat,Europejska,"1 rok",samica,"2 kg",wydane adopcja,"Warszawa, ul. Wolfkego","2025-01-17","2024-10-20",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402524/4e904806835f8a42.jpeg,https://napaluchu.waw.pl/pet/012402524/
32011,"1121/24",Marsjanin,cat,Europejska,"11 lat",samiec,"6 kg",wydane adopcja,"Warszawa, ul. Kulczyńskiego","2025-01-17","2024-11-16",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402764/f04d38e1eee669ef.jpeg,https://napaluchu.waw.pl/pet/012402764/
32012,"1078/24",Kajzerka,cat,Europejska,"6 miesięcy",samica,"1 kg",wydane adopcja,"Warszawa, ul. Książeca (lecznica)","2025-01-16","2024-11-01",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402648/7ba2464fb6fb89a8.jpg,https://napaluchu.waw.pl/pet/012402648/
32014,"1065/24",Gieroj,cat,Europejska,"10 miesięcy",samiec,"2 kg",wydane adopcja,"Warszawa, ul. Gocławska","2025-01-13","2024-10-27",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402613/3f54b51839f5c09f.JPG,https://napaluchu.waw.pl/pet/012402613/
32016,"0926/24",Sierżant Futerko,cat,Europejska,"9 miesięcy",samiec,"2 kg",wydane adopcja,ul. Centralna,"2025-01-12","2024-09-28",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402321/7dd9dc9102703a57.jpg,https://napaluchu.waw.pl/pet/012402321/
32017,"0516/24",Frank Zappa,cat,Europejska,"8 miesięcy",samiec,"2 kg",wydane adopcja,"Warszawa, teren Schroniska","2025-01-12","2024-07-08",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012401505/42f2506752fc281f.jpg,https://napaluchu.waw.pl/pet/012401505/
32018,"1037/24",Capriciosa,cat,Europejska,"7 miesięcy",samiec,"1 kg",wydane adopcja,"Warszawa, ul. Techników","2025-01-12","2024-10-21",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402554/5a9c243bec00973f.JPG,https://napaluchu.waw.pl/pet/012402554/
32019,"0518/24",Jim Morrison,cat,Europejska,"8 miesięcy",samiec,"3 kg",wydane adopcja,"Warszawa, teren Schroniska","2025-01-12","2024-07-08",https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012401507/730352e2dac7c741.jpg,https://napaluchu.waw.pl/pet/012401507/
